# DE2000               RA2000                HD         Pol      e_Pol                  PA      e_PA   GLON       GLAT       E_B-V_   Vmag   Dist      PolRefs                 
  -66.35879999999999   4.4460749999999996    1397.0     0.032    0.023000000000000003   88.2    19.8   308.2158   -50.4227   ""       7.4    145.0     0000000100000000000000  
  -66.35459999999999   302.08532999999994    190222.0   0.77     0.035                  174.1   1.3    329.5686   -32.3605   0.2      6.4    138.0     0000000000001000000000  
  -66.26109999999998   176.97449999999998    ""         0.89     0.1                    91.6    3.2    296.589    -4.175     0.4      10.8   1905.5    0000000000000100000000  
  -66.25739999999999   357.38163             223400.0   0.045    0.015000000000000001   88.0    9.5    312.4955   -49.7055   ""       7.3    38.0      0000000100000000000000  
  -66.1793             302.17441499999995    190248.0   0.03     0.035                  162.3   30.3   329.7709   -32.4139   0.0      3.6    5.8       0000000000001000000000  
  -66.1728             216.41584499999996    125990.0   0.1      0.035                  104.4   9.9    312.2592   -5.0224    0.1      6.4    100.0     0000000000001000000000  
  -66.1643             239.12099999999998    ""         0.64     0.1                    23.5    4.5    320.1619   -9.6969    0.8      11.1   758.6     0000000000000100000000  
  -66.12029999999999   215.12675999999996    125159.0   1.12     0.1                    62.3    2.6    311.787    -4.7918    0.5      10.0   1676.0    0000000000000100000000  
  -66.0803             145.27699499999997    84261.0    0.09     0.035                  160.3   11.0   285.238    -9.9865    0.0      7.4    104.7     0000000000001000000000  
  -66.014              248.67400499999997    148740.0   1.12     0.035                  37.4    0.9    323.0649   -12.3174   0.1      7.4    701.0     0000000000001000000000  
  -65.99099999999999   223.67746499999998    131058.0   1.16     0.035                  70.5    0.9    315.0321   -6.0587    0.1      6.1    279.0     0000000000001000000000  
  -65.9691             228.30065999999997    134401.0   0.62     0.1                    13.4    4.6    316.6941   -6.9607    0.3      9.0    1660.0    0000000000000100000000  
  -65.8912             168.57512999999997    97851.0    0.97     0.1                    104.3   3.0    293.2257   -4.867     0.5      8.5    2533.0    0000000000000100000000  
  -65.8025             174.28838999999996    310774.0   0.79     0.1                    95.1    3.6    295.4126   -4.0212    0.4      10.2   4358.0    0000000000000100000000  
  -65.7696             186.32342999999997    108054.0   0.11     0.030000000000000002   12.0    7.8    300.2506   -3.0341    0.0      ""     104.7     0000900000000000000000  
  -65.7422             172.79555999999997    100213.0   1.01     0.1                    74.1    2.8    294.8079   -4.1443    0.4      8.4    2586.0    0000000000000100000000  
  -65.70129999999999   213.66527999999997    124197.0   0.96     0.1                    65.2    3.0    311.3594   -4.2006    0.2      6.7    328.0     0000000000000100000000  
  -65.64769999999999   11.162684999999998    4308.0     0.011    0.014000000000000002   31.6    32.5   304.0548   -51.4657   ""       6.7    20.0      0000000100000000000000  
  -65.6441             185.13599999999997    ""         0.73     0.1                    88.7    3.9    299.7505   -2.9634    0.3      10.4   3311.3    0000000000000100000000  
  -65.6232             191.43389999999997    ""         1.07     0.1                    78.1    2.7    302.343    -2.758     0.4      9.7    2375.0    0000000000000100000000  
